playlist_id,playlist_title,published_at,video_count,playlist_duration
PLKeR9CeyAc9ZKSD2VPga46P5HSvDXFhq5,JUICED Gameshow,2022-10-06T23:40:51Z,5,24439.0
PLKeR9CeyAc9Z3uZLiOqlizQ4X76eoJ73T,Did Hans Niemann cheat against Magnus Carlsen?,2022-09-29T17:28:54Z,1,1186.0
PLKeR9CeyAc9YSxsQWWjftMezIV_2tBTfK,xQc on the Mizkif and Maya Coverup Allegations,2022-09-21T00:10:39Z,10,46106.0
PLKeR9CeyAc9Y_PT8pCm-fnXha122Kb4zA,xQc Plays Cities Skylines,2022-07-25T00:40:05Z,8,61412.0
PLKeR9CeyAc9YG6R9Vl8HBn_4KUXUAYRSg,Recent Uploads,2022-06-01T23:54:20Z,72,91454.0
PLKeR9CeyAc9bEhQkuYBZLLQBwiFYyHV0n,xQc Reacts to Movie Recaps,2022-05-30T17:27:49Z,42,37979.0
PLKeR9CeyAc9bgFdVc2355ZYzLYhbdzH22,Johnny Depp vs Amber Heard Trial,2022-04-24T01:18:20Z,23,122537.0
PLKeR9CeyAc9bS3EZqL7eb5XheLAWR31uK,xQc Reacts to SunnyV2,2022-04-07T23:37:54Z,74,76212.0
PLKeR9CeyAc9ZS3WIV6SmQNBuXS_ApXBi6,xQc Plays Deceit,2022-03-15T23:19:23Z,8,33074.0
PLKeR9CeyAc9Zd6CkWctChIsGfmOQ8I9Wa,xQc Plays Elden Ring,2022-03-03T17:45:10Z,8,146027.0
PLKeR9CeyAc9aLiZxUrwNX5-TnCnv5vsTK,Idiots In Cars | xQc Reacts,2021-10-28T02:29:09Z,14,8908.0
PLKeR9CeyAc9aLOkzbsQuif8ocLXEi8Jfm,xQc Reacts to UK Border Agency,2021-08-26T17:30:17Z,5,6546.0
PLKeR9CeyAc9YF2YYE0AL2i0d6AC9A-vAW,xQc Reacts to Livestream FAILS!,2021-08-17T13:14:18Z,129,124152.0
PLKeR9CeyAc9Y8ED94VBFzsIj8IRwtlV1v,xQc Viewer Ban Appeals,2021-08-16T22:41:44Z,18,16557.0
PLKeR9CeyAc9Zu5BeA6uNEVih0I5jm5fnc,xQc Reacts to JCS Criminal Psychology,2021-07-23T00:59:57Z,25,79331.0
PLKeR9CeyAc9Zv21m9QsqiPTjzck1jCI6x,xQc Plays Rust,2021-07-06T13:10:21Z,32,68750.0
PLKeR9CeyAc9YiTa5wtGkQA7ciUOevO9xL,Pierre Paul GTA Roleplay,2021-05-06T19:03:33Z,11,24084.0
PLKeR9CeyAc9brDTtmz6DcCQpy5mA6m9AK,xQc GTA Roleplay,2021-02-07T02:46:36Z,94,443590.0
PLKeR9CeyAc9ZCZ9xgjf0r_YroRAsfCA4j,Viewer Christmas Gifts Review | xQcOW,2020-12-26T14:27:55Z,10,10116.0
PLKeR9CeyAc9Y5j9aa4Tzy3TjRfLWYN2l6,xQc Cart Narcs | xQcOW,2020-12-17T22:37:14Z,21,18523.0
PLsCPTY_MPoPaVzVYbgiru7ZVuQN0ZnETa,Billie Eilish - Guitar Songs,2022-07-21T16:11:43Z,4,972.0
PLsCPTY_MPoPZLKsjasPhYLuoWG-s-rdKq,Billie Eilish - Happier Than Ever Official Album Playlist,2021-07-30T15:31:32Z,16,3622.0
PLsCPTY_MPoPZ_y3eBe2Yyv1rnzDR0x9TU,Billie Eilish - Happier Than Ever,2021-06-04T06:18:30Z,32,7283.0
PLsCPTY_MPoPZrzRDbMdl06imZkcwwgFVH,"BILLIE EILISH - WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-04T16:08:44Z,19,4213.0
PLsCPTY_MPoPbCftVtuvquFs9ayLDwD237,Billie Eilish Official Music Videos,2017-08-14T18:50:09Z,24,5466.0
PL86SiVwkw_odWQ-2ihE3_n7zFHtJANodT,Blade - Franchise Playlist,2023-05-22T16:14:54Z,28,5247.0
PL86SiVwkw_of5sMRNokOsUejCzYFZ3-ed,Sing - Franchise Playlist,2023-03-20T20:04:45Z,21,4426.0
PL86SiVwkw_oe4lgX7_dqh6exrcu2SD9fz,More Like This,2023-03-15T18:50:24Z,2,692.0
PL86SiVwkw_ocBj3A0vLUu0Zc9j8vBwGN4,Best Golf Movies & Scenes,2023-03-13T20:46:43Z,22,3455.0
PL86SiVwkw_od2DVVSBr_VflvaERThigDQ,Rotten Tomatoes Is Wrong,2023-03-01T20:52:20Z,16,46785.0
PL86SiVwkw_ofKJtXCY-n3TPeglKToXH1C,2023 Oscar Luncheon,2023-02-24T01:05:55Z,17,2786.0
PL86SiVwkw_oeAmKM1ToE_3RFt3pC1Ix7W,Cast Interviews,2023-02-24T00:14:21Z,3,4895.0
PL86SiVwkw_oeKKRbg0iqlJMP0v76_sMdG,Paranormal Activity - Franchise Playlist,2023-02-22T22:17:46Z,69,10401.0
PL86SiVwkw_odRfwXADxYdTMFpgu66s2k2,The Texas Chainsaw Massacre - Franchise Playlist,2023-02-22T21:48:32Z,40,6700.0
PL86SiVwkw_oc6w0IwDWnTgb0T0nKdn4-F,The Best Dracula Playlist Ever,2023-02-22T21:17:56Z,38,5980.0
PL86SiVwkw_ocIxQiVAuVtFCgg6EZkMJMI,Awards Tour,2023-02-13T23:10:16Z,64,56539.0
PL86SiVwkw_oddQ56JYMSRgbSYMFne4zfn,Versus,2023-01-04T21:04:12Z,4,5692.0
PL86SiVwkw_od4uFQ58WVORkMesqTsl_bI,Jack Reacher Franchise Playlist,2022-12-07T21:22:21Z,20,2752.0
PL86SiVwkw_oeIj06krs1czuHWGQTKyIgo,Final Destination Franchise Playlist,2022-12-02T00:22:57Z,37,5550.0
PL86SiVwkw_oebCTKmyc04Od6P2nWirvyP,Countdown,2022-10-04T19:38:17Z,26,33004.0
PL86SiVwkw_oes3JdIfAZDfCSLcnuM4NHn,Grittiest DC Anti-Heroes Playlist,2022-09-27T22:20:40Z,23,3882.0
PL86SiVwkw_oeym5Uy3DNJIWcpJTxCTGdU,Best Spanish Language Horror Movies,2022-09-27T17:48:44Z,20,2146.0
PL86SiVwkw_ofZulUGgMP1fi8ixTKeYzhd,Hellraiser - Franchise Playlist,2022-09-26T19:30:56Z,34,5646.0
PL86SiVwkw_ocrFIoqVwKAcumc3qAHib1o,Best Possession & Exorcism Movies Playlist,2022-09-09T22:03:24Z,79,11544.0
PL86SiVwkw_ocS0a5RztsJB9KZT7dNvk2-,The Best Horror Movie Kills Playlist,2022-09-09T00:54:21Z,53,9455.0
PL86SiVwkw_oeDMbw5BTYcVTW1g7oGvl04,The Karate Kid Franchise Playlist,2022-09-08T16:36:50Z,54,11974.0
PL86SiVwkw_ofTy4qS45iNF-pB950aoU0B,Scary Superhero Movies Playlist,2022-09-06T23:01:51Z,70,11382.0
PL86SiVwkw_of47XHTfnSv6ZjFJP1SNOGD,The Best Supernatural Romantic Movies Playlist,2022-07-26T22:21:30Z,49,7432.0
PL86SiVwkw_ofM-slUQWpVWM147BI8UuFM,Best Dragons In Movies Playlist,2022-07-26T21:00:07Z,50,8174.0
PL86SiVwkw_odPTG7UAGnSBHcDbyp71T9d,Compilations,2022-07-13T02:19:22Z,22,23796.0
PLINj2JJM1jxPejyik_md1TfgXvLyUL4gl,#TSAntiHeroChallenge Playlist,2022-10-26T20:11:45Z,15,230.0
PLINj2JJM1jxP5aYiX47uBCRu9g8JItDWp,Taylor Swift - Midnights,2022-10-21T12:41:47Z,23,5132.0
PLINj2JJM1jxMjrb29kIR5WixKfVeaOaIT,Red (Taylor's Version),2021-11-12T05:03:09Z,33,9768.0
PLINj2JJM1jxNeeZ9lih8SNd_NJEkA22u0,Fearless (Taylor’s Version),2021-02-12T05:09:58Z,27,6659.0
PLINj2JJM1jxMlmDr3lG66mh_V58rYfeKu,willow - [yule log],2020-12-17T20:38:22Z,4,797.0
PLINj2JJM1jxP3taLik1NA6CFs5L-TD7uw,evermore album,2020-12-11T02:06:56Z,27,6367.0
PLINj2JJM1jxNNBnGb3WvHmcyCyfl0VlJX,folklore,2020-07-24T01:45:18Z,23,5490.0
PLINj2JJM1jxNmhTnJZH_608EC6OPdHB4j,Behind The Scenes,2020-03-09T21:02:51Z,15,3012.0
PLINj2JJM1jxM_LMlrpYdf2gRZukkutFgn,Dancing to ME!,2019-05-01T18:53:53Z,29,918.0
PLINj2JJM1jxObDqF8VXonjQhrBnnMrtGH,Lover Era,2019-05-01T01:40:28Z,49,12517.0
PLINj2JJM1jxNGufWqHnZb2LeJTxzcCmne,rep Tour and Friends,2018-12-19T17:02:55Z,36,8418.0
PLINj2JJM1jxPqgq7sdyc0v49PefBaTBrS,End Game - Behind The Scenes,2018-02-09T15:41:12Z,2,554.0
PLINj2JJM1jxNjVSpd8CM7FNRAO-GQ0c8R,Look What You Made Me Do: Behind-the-Scenes,2017-09-20T20:16:22Z,5,1436.0
PLINj2JJM1jxNpwmOXIb2s14EHtWxyASAo,Grammy Museum Sessions,2016-01-08T16:35:31Z,3,603.0
PLINj2JJM1jxPyAv5GZyncT8vMHGTBes3N,RED Tour,2015-04-21T18:36:48Z,7,1978.0
PLB4E1D6A110C53C62,Taylor Swift Fragrances,2012-04-24T14:49:02Z,6,146.0
PL2CB68E88E6B9C27C,My Videos,2011-04-09T00:06:56Z,67,12920.0
PLDBB5939EB726E3FA,Live Videos,2011-03-02T17:03:15Z,11,3113.0
PL653F524BE7DDB13B,Fan Videos,2011-02-14T05:58:41Z,10,2170.0
PL6616CF0632226F8B,Video Blogs,2008-06-26T20:55:28Z,30,6850.0
PLC0E71E6B77CDFE8E,Behind The Scenes,2008-06-26T18:42:31Z,9,968.0
PL26188271A7E248AD,TV Appearances,2008-06-26T18:42:03Z,6,1018.0
PL12E43D243BEF14F2,Music Videos,2008-06-26T16:17:05Z,27,6670.0
